,Year,Category,value
223,1996,Chickpeas   _Area,241.5
224,1997,Chickpeas   _Area,273.0
225,1998,Chickpeas   _Area,308.5
226,1999,Chickpeas   _Area,218.0
227,2000,Chickpeas   _Area,261.6
228,2001,Chickpeas   _Area,244.9
229,2002,Chickpeas   _Area,201.2
230,2003,Chickpeas   _Area,200.8
231,2004,Chickpeas   _Area,110.2
232,2005,Chickpeas   _Area,131.3
233,2006,Chickpeas   _Area,284.1
234,2007,Chickpeas   _Area,306.0
235,2008,Chickpeas   _Area,338.2
236,2009,Chickpeas   _Area,429.0
237,2010,Chickpeas   _Area,653.1
238,2011,Chickpeas   _Area,456.1
239,2012,Chickpeas   _Area,573.6
240,2013,Chickpeas   _Area,507.8
241,2014,Chickpeas   _Area,424.8
242,2015,Chickpeas   _Area,677.4
243,2016,Chickpeas   _Area,1069.0
244,2017,Chickpeas   _Area,1075.1
245,2018,Chickpeas   _Area,293.9
246,2019,Chickpeas   _Area,309.2
247,2020,Chickpeas   _Area,606.3
248,2021,Chickpeas   _Area,615.8
249,2022,Chickpeas   _Area,397.5
250,2023,Chickpeas   _Area,409.0
251,2024,Chickpeas   _Area,768.5
252,1989,Chickpeas  _Production,109.0
253,1990,Chickpeas  _Production,191.7
254,1991,Chickpeas  _Production,221.9
255,1992,Chickpeas  _Production,176.9
256,1993,Chickpeas  _Production,193.1
257,1994,Chickpeas  _Production,68.9
258,1995,Chickpeas  _Production,286.9
259,1996,Chickpeas  _Production,287.7
260,1997,Chickpeas  _Production,198.6
261,1998,Chickpeas  _Production,187.6
262,1999,Chickpeas  _Production,230.0
263,2000,Chickpeas  _Production,162.5
264,2001,Chickpeas  _Production,273.4
265,2002,Chickpeas  _Production,128.7
266,2003,Chickpeas  _Production,198.9
267,2004,Chickpeas  _Production,135.2
268,2005,Chickpeas  _Production,149.7
269,2006,Chickpeas  _Production,229.2
270,2007,Chickpeas  _Production,313.0
271,2008,Chickpeas  _Production,442.5
272,2009,Chickpeas  _Production,487.0
273,2010,Chickpeas  _Production,513.4
274,2011,Chickpeas  _Production,673.4
275,2012,Chickpeas  _Production,813.3
276,2013,Chickpeas  _Production,629.4
277,2014,Chickpeas  _Production,555.4
278,2015,Chickpeas  _Production,874.6
279,2016,Chickpeas  _Production,2004.0
280,2017,Chickpeas  _Production,998.2
281,2018,Chickpeas  _Production,205.1
282,2019,Chickpeas  _Production,235.2
283,2020,Chickpeas  _Production,876.5
284,2021,Chickpeas  _Production,1062.3
285,2022,Chickpeas  _Production,541.0
286,2023,Chickpeas  _Production,491.2
287,2024,Chickpeas  _Production,1333.0
288,1989,Faba beans  _Area,45.0
289,1990,Faba beans  _Area,43.9
290,1991,Faba beans  _Area,58.1
291,1992,Faba beans  _Area,82.0
292,1993,Faba beans  _Area,93.7
293,1994,Faba beans  _Area,100.6
294,1995,Faba beans  _Area,80.4
295,1996,Faba beans  _Area,96.9
296,1997,Faba beans  _Area,154.8
297,1998,Faba beans  _Area,135.3
298,1999,Faba beans  _Area,125.3
299,2000,Faba beans  _Area,206.3
300,2001,Faba beans  _Area,180.0
301,2002,Faba beans  _Area,157.0
302,2003,Faba beans  _Area,155.0
303,2004,Faba beans  _Area,194.5
304,2005,Faba beans  _Area,183.0
305,2006,Faba beans  _Area,186.6
306,2007,Faba beans  _Area,132.5
307,2008,Faba beans  _Area,125.3
308,2009,Faba beans  _Area,129.0
309,2010,Faba beans  _Area,162.6
310,2011,Faba beans  _Area,151.4
311,2012,Faba beans  _Area,202.9
312,2013,Faba beans  _Area,152.1
313,2014,Faba beans  _Area,163.9
314,2015,Faba beans  _Area,220.3
315,2016,Faba beans  _Area,232.7
316,2017,Faba beans  _Area,313.1
317,2018,Faba beans  _Area,234.0
318,2019,Faba beans  _Area,214.9
319,2020,Faba beans  _Area,302.1
320,2021,Faba beans  _Area,287.5
321,2022,Faba beans  _Area,305.0
322,2023,Faba beans  _Area,264.1
323,2024,Faba beans  _Area,258.5
324,1989,Faba beans  _Production,58.0
325,1990,Faba beans  _Production,53.1
326,1991,Faba beans  _Production,64.4
327,1992,Faba beans  _Production,99.0
328,1993,Faba beans  _Production,148.8
329,1994,Faba beans  _Production,67.2
330,1995,Faba beans  _Production,127.7
331,1996,Faba beans  _Production,170.7
332,1997,Faba beans  _Production,162.7
333,1998,Faba beans  _Production,194.3
334,1999,Faba beans  _Production,165.8
335,2000,Faba beans  _Production,324.9
336,2001,Faba beans  _Production,350.0
337,2002,Faba beans  _Production,108.0
338,2003,Faba beans  _Production,277.0
339,2004,Faba beans  _Production,167.5
340,2005,Faba beans  _Production,329.0
341,2006,Faba beans  _Production,107.0
342,2007,Faba beans  _Production,138.0
343,2008,Faba beans  _Production,134.7
344,2009,Faba beans  _Production,217.3
345,2010,Faba beans  _Production,324.4
346,2011,Faba beans  _Production,268.1
347,2012,Faba beans  _Production,377.2
348,2013,Faba beans  _Production,327.7
349,2014,Faba beans  _Production,283.8
350,2015,Faba beans  _Production,300.6
351,2016,Faba beans  _Production,483.6
352,2017,Faba beans  _Production,415.6
353,2018,Faba beans  _Production,233.4
354,2019,Faba beans  _Production,313.0
355,2020,Faba beans  _Production,679.8
356,2021,Faba beans  _Production,646.2
357,2022,Faba beans  _Production,635.0
358,2023,Faba beans  _Production,553.9
359,2024,Faba beans  _Production,510.5
360,1989,Field peas  _Area,326.0
361,1990,Field peas  _Area,318.0
362,1991,Field peas  _Area,426.5
363,1992,Field peas  _Area,382.3
364,1993,Field peas  _Area,399.8
365,1994,Field peas  _Area,460.6
366,1995,Field peas  _Area,381.6
367,1996,Field peas  _Area,336.7
368,1997,Field peas  _Area,366.9
369,1998,Field peas  _Area,369.4
370,1999,Field peas  _Area,423.5
371,2000,Field peas  _Area,395.8
372,2001,Field peas  _Area,336.2
373,2002,Field peas  _Area,380.2
374,2003,Field peas  _Area,353.5
375,2004,Field peas  _Area,413.1
376,2005,Field peas  _Area,365.7
377,2006,Field peas  _Area,383.8
378,2007,Field peas  _Area,292.5
379,2008,Field peas  _Area,299.8
380,2009,Field peas  _Area,285.1
381,2010,Field peas  _Area,317.5
382,2011,Field peas  _Area,248.9
383,2012,Field peas  _Area,280.5
384,2013,Field peas  _Area,244.5
385,2014,Field peas  _Area,237.0
386,2015,Field peas  _Area,238.1
387,2016,Field peas  _Area,230.2
388,2017,Field peas  _Area,291.5
389,2018,Field peas  _Area,229.5
390,2019,Field peas  _Area,247.6
391,2020,Field peas  _Area,251.7
392,2021,Field peas  _Area,192.0
393,2022,Field peas  _Area,198.0
394,2023,Field peas  _Area,192.0
395,2024,Field peas  _Area,187.0
396,1989,Field peas  _Production,388.0
397,1990,Field peas  _Production,318.1
398,1991,Field peas  _Production,472.6
399,1992,Field peas  _Production,456.3
400,1993,Field peas  _Production,558.5
401,1994,Field peas  _Production,240.4
402,1995,Field peas  _Production,529.9
403,1996,Field peas  _Production,454.6
404,1997,Field peas  _Production,315.3
405,1998,Field peas  _Production,370.3
406,1999,Field peas  _Production,496.5
407,2000,Field peas  _Production,455.9
408,2001,Field peas  _Production,512.3
409,2002,Field peas  _Production,178.4
410,2003,Field peas  _Production,486.1
411,2004,Field peas  _Production,289.1
412,2005,Field peas  _Production,584.6
413,2006,Field peas  _Production,140.3
414,2007,Field peas  _Production,267.5
415,2008,Field peas  _Production,238.1
416,2009,Field peas  _Production,356.0
417,2010,Field peas  _Production,394.7
418,2011,Field peas  _Production,342.5
419,2012,Field peas  _Production,319.7
420,2013,Field peas  _Production,342.1
421,2014,Field peas  _Production,290.4
422,2015,Field peas  _Production,204.5
423,2016,Field peas  _Production,415.2
424,2017,Field peas  _Production,317.2
425,2018,Field peas  _Production,159.6
426,2019,Field peas  _Production,210.5
427,2020,Field peas  _Production,399.3
428,2021,Field peas  _Production,261.1
429,2022,Field peas  _Production,313.8
430,2023,Field peas  _Production,228.0
431,2024,Field peas  _Production,229.0
432,1989,Lentils  _Area,0.0
433,1990,Lentils  _Area,0.2
434,1991,Lentils  _Area,0.3
435,1992,Lentils  _Area,0.5
436,1993,Lentils  _Area,1.0
437,1994,Lentils  _Area,5.2
438,1995,Lentils  _Area,6.5
439,1996,Lentils  _Area,13.8
440,1997,Lentils  _Area,42.0
441,1998,Lentils  _Area,66.2
442,1999,Lentils  _Area,74.6
443,2000,Lentils  _Area,101.4
444,2001,Lentils  _Area,113.0
445,2002,Lentils  _Area,165.0
446,2003,Lentils  _Area,83.1
447,2004,Lentils  _Area,127.3
448,2005,Lentils  _Area,178.2
449,2006,Lentils  _Area,207.5
450,2007,Lentils  _Area,129.5
451,2008,Lentils  _Area,117.0
452,2009,Lentils  _Area,104.0
453,2010,Lentils  _Area,218.8
454,2011,Lentils  _Area,172.8
455,2012,Lentils  _Area,165.4
456,2013,Lentils  _Area,169.7
457,2014,Lentils  _Area,189.0
458,2015,Lentils  _Area,224.9
459,2016,Lentils  _Area,275.6
460,2017,Lentils  _Area,418.5
461,2018,Lentils  _Area,400.1
462,2019,Lentils  _Area,412.4
463,2020,Lentils  _Area,500.9
464,2021,Lentils  _Area,575.2
465,2022,Lentils  _Area,692.3
466,2023,Lentils  _Area,790.0
467,2024,Lentils  _Area,927.1
468,1989,Lentils  _Production,0.0
469,1990,Lentils  _Production,0.2
470,1991,Lentils  _Production,0.5
471,1992,Lentils  _Production,0.5
472,1993,Lentils  _Production,1.2
473,1994,Lentils  _Production,2.0
474,1995,Lentils  _Production,15.5
475,1996,Lentils  _Production,28.3
476,1997,Lentils  _Production,31.5
477,1998,Lentils  _Production,38.7
478,1999,Lentils  _Production,115.4
479,2000,Lentils  _Production,138.2
480,2001,Lentils  _Production,153.5
481,2002,Lentils  _Production,67.0
482,2003,Lentils  _Production,103.8
483,2004,Lentils  _Production,52.3
484,2005,Lentils  _Production,294.9
485,2006,Lentils  _Production,31.8
